,class_index,title,description,split
80453,1,Guarding of Ukraine central election commission relieved,"KIEV, November 3 (Itar-Tass) - Water cannons and armoured personnel carriers were removed from the territory of the Ukrainian central election commission on Wednesday.",0
59399,4,FDA Approves Use of Chip in Patients (AP),"AP - The Food and Drug Administration on Wednesday approved an implantable computer chip that can pass a patient's medical details to doctors, speeding care.",0
97947,3,Chiefs agree on oil prices,THE Group of 20 finance chiefs agreed yesterday that  quot;abrupt changes quot; in foreign exchange rates and oil prices were unwelcome but showed no appetite for intervention to strengthen the US currency.,0
53073,4,Love DRM or my family starves: why Steve Ballmer doesn #39;t Get It,"Last Sunday Microsoft CEO Steve Ballmer kicked off this week #39;s European tour by sitting down with a small group* of British journalists and dispensing pearls of wisdom, notably on the future of Apple in home networking (it has none, natch, says Steve).",0
16329,4,Video Game Sales Seen Pausing After Record 2003,"Video game sales soared to a record \$18.2 billion last year, but the days of strong growth are on pause as players await a new generation of consoles.",0
85504,3,Google Blazes Lonely IPO Trail,"Few experts who tried to predict how Google's much-antipated IPO would perform managed to get it right, and no firms have opted to follow its auction approach. By Joanna Glasner.",1
86595,1,"Confusion Over Arafat, Palestinians Prepare Burial (Reuters)","Reuters - Palestinians looked to their leadership\to lift confusion over Yasser Arafat's fate in a French\hospital on Wednesday as preparations gathered pace to bury the\icon of their fight for statehood. Arafat, 75, suffered a brain\hemorrhage on Tuesday at the hospital where he was flown from\the West Bank on Oct. 29 and had lain in a coma. Officials\insisted in public that he was alive, though aides said\privately that he was dead.",0
104152,4,InfoWorld Announces 2005 Technology of the Year Awards,Apple Xserve G5 won InfoWorld #146;s  #147;Best Server Hardware #148; award and Mac OS X v10.3 Panther won the  #147;Best Operating System #148; award. Jan 03,1
17522,4,Retailer to follow RFID test with full rollout,Germany's Metro Group tested radio tag inventory control for a year and found it good enough to deploy--but not perfect.,0
104930,3,Asian Stocks Rise for Fourth Day in US Trading; Sony Climbs,Asian stocks rose in US trading. Sony Corp. gained after the world #39;s No. 2 consumer-electronics maker agreed to resolve a dispute over patents related to digital cameras.,1
20654,4,Toxic waste ship sinks off Turkey,A ship containing toxic power station waste has sunk after being moored in a Turkish harbour for four years. The Ulla had sat in the port of Iskenderun in south-eastern Turkey amid confusion over the ship #39;s future.,1
66666,1,"Cabinet set to agree troop movement, but delay likely",The cabinet is expected to agree in principle today to a request from George Bush #39;s military commanders for British troops to be redeployed to the so-called  quot;triangle of death quot; near Baghdad.,1
58164,4,Virgin to Unveil Portable Music Player,"The consumer electronics arm of the Virgin Group is introducing a new 5-gigabyte hard-disk portable music player, bringing a powerful brand name in music to the increasingly crowded product space. &lt;FONT face=""verdana,MS Sans Serif,arial,helvetica"" size=""-2""\ color=""#666666""&gt;&lt;B&gt;-The Associated Press&lt;/B&gt;&lt;/FONT&gt;",1
41068,4,AT T Wireless unveils messaging-only handheld,"The company says the device, dubbed the Ogo, won't be bogged down by features that are ""hardly used.""",0
84690,4,Online spammer free on bond,"LEESBURG, Va. A North Carolina man convicted of illegally sending (m) millions of pieces of junk e-mail to America Online subscribers was granted bond today while he awaits sentencing.",0
79395,4,"Intel pushes Pentium 4 bus to 1,066-MHz for gamers","SAN JOSE, Calif. - Intel Corp. (Santa Clara, Calif.) on Monday (Nov. 1) rolled out a new Pentium 4 processor and chip set for PC gamers, based on a 1,066-MHz front-side bus technology.",0
12514,4,Intel #39;s  #39;BTX #39; Motherboard Debuts on Gateway #39;s PC,"Intel #39;s (Quote, Chart) next-generation motherboard design has made its debut in a new Gateway (Quote, Chart) desktop, the company said today.",0
47284,1,Bush and Kerry Follow Debate With Sharp Jabs,"President Bush attacked John Kerry on Iraq, taking a more aggressive approach than he had during the debate.",0
164,4,Insecurity: (Or Why Americans Aren't Feeling The Recovery),"The New Republic's website is currently carrying an interesting piece which tries to explain the anomaly that although the US economy is growing, a lot of its citizens are still feeling worse off. The article explains the results of a 40 year panel study which has shown that although mean incomes have increased, income variability has increased massively, causing many Americans to feel less well off, despite the growing economy.      ",0
96209,3,Stocks Fall on Greenspan Deficit Warning,Stocks fell modestly Friday as Federal Reserve Chairman Alan Greenspan sounded a warning over the nation #39;s spiraling trade deficit.,0
45653,1,House Defeats Gay Marriage Ban Amendment,"WASHINGTON - The Republican-controlled House emphatically defeated a constitutional amendment banning gay marriage Thursday, the latest in a string of conservative pet causes pushed to a vote by GOP leaders in the run-up to Election Day.    The vote was 227-186, far short of the two-thirds needed for approval on a measure that President Bush backed but the Senate had previously rejected...",0
94095,2,"Garcia, Jimenez Favorites at Home for Cup (AP)","AP - Chomping on a cigar, his unruly ponytail flowing from his cap, Miguel Angel Jimenez smiled as he said, ""Buenos dias"" to the clubhouse guard at the Real Club de Golf.",0
102756,3,FCC is watching SBC #39;s VoIP charge,WASHINGTON--The Federal Communications Commission is keeping and eye on SBC Communications #39; new connection charge for calls made over the Internet.,0
4200,4,Martian hill shows signs of ancient water,"LOS ANGELES - NASA #39;s Spirit rover has found more evidence of past water on the hills of Mars, while its twin, Opportunity, has observed a field of dunes inside a crater. ",0
88362,2,Baseball GMs Split on Instant Replay (AP),"AP - Upon further review, baseball will hold off on taking a look at instant replay. After watching umpires reverse almost every missed call in the postseason, major league general managers split 15-15 Thursday on whether to keep exploring the subject.",0
68015,3,Briefly: EU #39;s Mercosur talks extended,"The European Union and the Mercosur group of South American economies agreed Thursday to let negotiations on opening their markets extend into next year, missing a month-end deadline to build the world #39;s largest trade area.",0
97817,2,Malice at the Palace - the last thing the NBA needed for their &lt;b&gt;...&lt;/b&gt;,"Take your pick of culprits in the stunning melee Friday night at The Palace of Auburn Hills, in a heated game between Central Division rivals: the defending NBA champion Detroit Pistons and Indiana Pacers.",0
34312,2,Soccer Legend Maradona Arrives in Cuba (AP),AP - Former soccer great Diego Maradona returned to Cuba on Monday to resume treatment for cocaine addiction after a relapse confined him to a psychiatric hospital in his native Argentina and sparked unsuccessful attempts by his family to keep him at home.,0
55160,2,No. 24 LSU at No. 12 Florida,Coaches: Ron Zook is 19-11 in his third year at UF; Nick Saban is 42-15 in his fifth year at LSU and 85-41-1 in his 11th year overall.,0
35819,4,"Hello, halitosis","ZDNet #39;s survey of IT professionals in August kept Wired  amp; Wireless on top for the 18th month in a row. Siemens Mobile is developing the first mobile phone that will alert people when their breath stinks, the company said Tuesday.",0
93263,4,"More Than 15,000 Species Said to Be Facing Extinction (Reuters)","Reuters - More than 15,000 species, from sharks\to frogs to fir trees, are facing extinction and the total is\rising faster than ever before, conservationists and scientists\said Wednesday.",0
17850,4,Archaeologists Discover Tomb Near Egypt's Pyramids (Reuters),"Reuters - Archaeologists have found a\2,500-year-old tomb near Egypt's ancient pyramids in Giza, the\head of the excavation team told Reuters on Thursday.",0
37562,4,Sony to support MP3 in future players,Sony #39;s apparently gotten the message: Some of its new MP3 player models will feature direct support for MP3 in addition to its proprietary ATRAC format.,0
70546,3,US Airways #39; pilots vote for 18 salary reduction,US Airways #39; pilots voted to approve a new labor agreement yesterday that will reduce their salaries by 18 percent but will save the airline \$300 million a year.,0
29634,4,Triumphant return of the big &lt;cite&gt;Reg&lt;/cite&gt; logo t-shirt,"&lt;strong&gt;Cash'n'Carrion&lt;/strong&gt; Cue trumpets, etc",0
9206,3,HHG buoyed by return to profits,British insurer and fund manager HHG was back in the black at the half-year stage today as it recovered from losses of 902m (1.,0
125556,4,Outsourcing to Arkansas,A new kid on the block promises to give offshore outsourcing a run for its money--by routing technology work to rural America. Outsourcing Blog,2
122189,4,Noah's Ark Quest Dead in Water -- Was It a Stunt?,"In April a Christian activist announced a summer 2004 expedition to search for Noah's ark. The quest didn't happen, and now critics are questioning the project's credibility.",2
